"Woreda.Code","Longitude","Latitude","Maize.Price_BirrKg","Year"
10101,37.7892677816,14.4467483041,5.79,2013
10102,38.1976053718,14.3684872468,4.835,2013
10103,38.4462212067,14.0128021324,5.19,2013
10104,38.2890387993,14.0954039933,5.41,2013
10105,37.9943044852,13.9583210338,6,2013
10106,38.1869484907,13.6373483963,4.67,2013
10201,38.7617737708,14.3731691358,4.5,2013
10206,38.5883883827,14.088489664,8.65,2013
10207,38.6864654633,13.8441677661,5.8,2013
10208,38.9146047812,13.7068189496,5.82,2013
10210,38.8908897116,13.4053203879,6.15,2013
10306,39.527610911,13.7556066885,6.16,2013
10401,39.1731478762,13.2267713565,6,2013
10403,39.559229543,13.149430224,5.93,2013
10407,39.5185955006,12.3906479948,4.825,2013
10502,37.4043810282,13.7570921417,6.775,2013
10503,37.0761351319,13.5155634396,3.33,2013
20103,41.4722273717,11.5530380207,4.4,2013
20104,41.6739144524,11.3388802809,5,2013
20306,39.8673677546,9.48779371362,5.525,2013
30101,37.9640160833,13.3939012321,5.875,2013
30108,37.3686118944,12.7640315158,5.5,2013
30111,37.2662469495,12.3978364963,5.5,2013
30112,36.9193565029,12.6032497692,5.87,2013
30113,36.3253102546,12.8831867494,4.27,2013
30114,35.8771043419,12.2432834473,4.585,2013
30115,36.7407517091,11.9342535541,5.1,2013
30116,37.846502651,12.4924425667,4.17,2013
30120,37.0834321716,13.0362095432,4.29,2013
30202,37.7824914691,12.1456321624,5.33,2013
30203,37.7689560145,11.8858941622,5.5,2013
30204,38.0780698792,11.8398173307,3.33,2013
30209,37.6767673815,11.6119339133,5.16,2013
30407,39.8341487313,11.0721035216,5.41,2013
30416,38.6799782192,10.5336272882,6.79,2013
30507,39.8026949302,10.5998286943,4.2,2013
30508,39.8863490586,10.3116653775,5.26,2013
30512,39.9083072879,9.97697459401,5.22,2013
30602,37.8995407123,10.9873918702,5.5,2013
30603,38.1687075546,10.9849875701,5.88,2013
30606,38.1763215848,10.5039977475,5.33,2013
30609,37.5436708619,10.4897726295,5.36,2013
30611,37.717603005,10.0290557475,5.84,2013
30613,38.1772925744,10.2022520682,6.3,2013
30617,37.8820100408,10.1811865565,6.535,2013
30701,36.9542675614,11.7043202,4.4,2013
30702,37.3553182512,11.5669486468,5.4,2013
30703,37.4911836542,11.2604912221,5.92,2013
30704,37.1602571832,11.3319098548,4.8,2013
30706,37.4411244723,10.9732842596,5.51,2013
30707,37.6140628935,10.8598711051,5.13,2013
30708,37.3627319865,10.5253944858,5.43,2013
30709,37.2761336483,10.6999240229,5.07,2013
30710,37.0488418627,10.5411983263,5.09,2013
30801,38.7053175626,12.8052736565,8.01,2013
30803,38.6726488717,12.4355310574,6.79,2013
30901,36.7707909763,11.2255343485,4.65,2013
30904,36.5059751591,10.7844460125,4.5,2013
30905,36.8968791917,11.0829755423,5.56,2013
31001,39.8465028251,10.7774944334,5,2013
31002,40.0481660914,11.1953076613,5.47,2013
31004,40.0261175074,10.549209841,6.57,2013
40101,35.0280533631,9.76177811016,3.57,2013
40102,35.4751341704,9.56736277179,4.28,2013
40103,35.9047160258,9.15940949895,3.66,2013
40104,35.6729948493,9.20800208965,3.48,2013
40106,35.6381218261,9.40374970967,4.135,2013
40108,35.3129081845,9.44080168789,3.45,2013
40112,35.4568220625,8.97248300072,2.42,2013
40114,35.8496009787,8.98156808073,3.85,2013
